name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,lifeStage,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,occurrenceRemarks,identifiedBy,identificationID,elevation,elevationAccuracy,depth,depthAccuracy,waterBody,locality,type,rights,ownerInstitutionCode,datasetID,samplingProtocol,nameAccordingTo,georeferenceSources,individualCount,continent,vernacularName,higherClassification,sex,networkKeys,sampleSizeUnit,sampleSizeValue,eventID,habitat,institutionID,islandGroup,language,http://rs.tdwg.org/dwc/terms/sampleSizeValue,maximumDistanceAboveSurfaceInMeters,georeferencedBy,dataGeneralizations,georeferenceProtocol,island,verbatimDepth,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,identificationRemarks,coordinatePrecision,recordNumber,georeferencedDate,nomenclaturalCode,footprintWKT,associatedReferences,taxonRemarks,bibliographicCitation,taxonConceptID,associatedSequences
"Neomonachus schauinslandi (Matschie, 1905)",-156.173473,19.649716,cdround,gbif,3017941977,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:05.467+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,Adult,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-01-04T21:46:29,30545,Hawaii,2021,1,3,2021-01-03,2021-05-21T14:48:25.000+00:00,2021-12-08T05:02:05.467+00:00,https://www.inaturalist.org/observations/67588325,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Roger Latham,67588325,rogerlatham,Coordinate uncertainty increased to 30545m to protect threatened taxon,2021/01/03 4:36 PM EST,iNaturalist research-grade observations,Observations,"Hawaii, US",3017941977,https://www.inaturalist.org/observations/67588325,446640,67588325,Roger Latham,iNaturalist,21:36:00Z,Large female,Roger Latham,149131434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-156.095657,19.646309,cdround,gbif,3017958017,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:06.609+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,Adult,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-01-04T21:46:30,30545,Hawaii,2021,1,3,2021-01-03,2021-05-21T14:48:47.000+00:00,2021-12-08T05:02:06.609+00:00,https://www.inaturalist.org/observations/67588327,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Roger Latham,67588327,rogerlatham,Coordinate uncertainty increased to 30545m to protect threatened taxon,2021/01/03 4:36 PM EST,iNaturalist research-grade observations,Observations,"Hawaii, US",3017958017,https://www.inaturalist.org/observations/67588327,446640,67588327,Roger Latham,iNaturalist,21:36:00Z,Large female,Roger Latham,149131438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-157.984747,21.760299,cdround,gbif,3018073814,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:00:43.946+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-01-02T19:40:41,30357,Hawaii,2021,1,1,2021-01-01,2021-01-03T12:07:09.000+00:00,2021-12-08T05:00:43.946+00:00,https://www.inaturalist.org/observations/67471041,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Melissa Tulig,67471041,mtulig,Coordinate uncertainty increased to 30357m to protect threatened taxon,Fri Jan 01 2021 10:12:14 GMT-1000 (HST),iNaturalist research-grade observations,Observations,"Honolulu County, US-HI, US",3018073814,https://www.inaturalist.org/observations/67471041,446640,67471041,Melissa Tulig,iNaturalist,20:12:14Z,NA,Melissa Tulig,148794246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-158.35205,21.589467,cdround,gbif,3039147082,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:54:02.491+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-02-01T01:34:04,30377,Hawaii,2021,1,23,2021-01-23,2021-04-10T09:12:13.000+00:00,2021-12-08T05:54:02.491+00:00,https://www.inaturalist.org/observations/68895600,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Chandra Earl,68895600,chandraearl,Coordinate uncertainty increased to 30377m to protect threatened taxon,2021-01-23 2:07:22 PM HST,iNaturalist research-grade observations,Observations,"Honolulu County, US-HI, US",3039147082,https://www.inaturalist.org/observations/68895600,446640,68895600,Chandra Earl,iNaturalist,19:07:22Z,NA,Chandra Earl,152926800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-158.342656,21.558396,cdround,gbif,3039211171,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:59:23.391+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-02-01T01:45:11,30377,Hawaii,2021,1,23,2021-01-23,2021-06-03T04:48:50.000+00:00,2021-12-08T05:59:23.391+00:00,https://www.inaturalist.org/observations/68896059,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Chandra Earl,68896059,chandraearl,Coordinate uncertainty increased to 30377m to protect threatened taxon,2021-01-23 2:08:21 PM HST,iNaturalist research-grade observations,Observations,"Honolulu County, US-HI, US",3039211171,https://www.inaturalist.org/observations/68896059,446640,68896059,Chandra Earl,iNaturalist,19:08:21Z,NA,Chandra Earl,152927866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-158.317856,21.429073,cdround,gbif,3039317564,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:50:35.006+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-02-06T20:37:19,30377,Hawaii,2021,1,23,2021-01-23,2021-04-10T09:11:32.000+00:00,2021-12-08T05:50:35.006+00:00,https://www.inaturalist.org/observations/69159271,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,hizach,69159271,hizach,Coordinate uncertainty increased to 30377m to protect threatened taxon,Sat Jan 23 2021 14:07:22 GMT-1000 (HST),iNaturalist research-grade observations,Observations,"Honolulu County, US-HI, US",3039317564,https://www.inaturalist.org/observations/69159271,446640,69159271,hizach,iNaturalist,00:07:22Z,NA,hizach,153690488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-159.47869,21.961243,cdround,gbif,3079803072,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:49.063+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-01-31T18:42:12,30338,Hawaii,2021,1,30,2021-01-30,2021-06-03T04:49:07.000+00:00,2021-12-08T05:01:49.063+00:00,https://www.inaturalist.org/observations/68872822,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Nathan G,68872822,noblegas07,Coordinate uncertainty increased to 30338m to protect threatened taxon,2021-01-30 5:36:57 PM HST,iNaturalist research-grade observations,Observations,"Hawaii, US",3079803072,https://www.inaturalist.org/observations/68872822,446640,68872822,Nathan G,iNaturalist,17:36:57Z,NA,Nathan G,152873350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-156.259143,20.862299,cdround,gbif,3044944638,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:56:16.092+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-02-20T01:59:29,30434,Hawaii,2021,2,19,2021-02-19,2021-06-03T04:47:12.000+00:00,2021-12-08T05:56:16.092+00:00,https://www.inaturalist.org/observations/69839524,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,monicawahl,69839524,monicawahl,Coordinate uncertainty increased to 30434m to protect threatened taxon,Fri Feb 19 2021 15:36:38 GMT-1000 (HST),iNaturalist research-grade observations,Observations,"Maui County, US-HI, US",3044944638,https://www.inaturalist.org/observations/69839524,446640,69839524,monicawahl,iNaturalist,01:36:38Z,NA,monicawahl,155690853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-158.198144,21.234494,cdround,gbif,3058897903,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:13.593+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-02-27T02:16:19,30396,Hawaii,2021,2,25,2021-02-25,2021-06-03T04:44:30.000+00:00,2021-12-08T05:02:13.593+00:00,https://www.inaturalist.org/observations/70229396,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,mpeasley,70229396,mpeasley,Coordinate uncertainty increased to 30396m to protect threatened taxon,Thu Feb 25 2021 18:25:54 GMT-1000 (HST),iNaturalist research-grade observations,Observations,"Hawaii, US",3058897903,https://www.inaturalist.org/observations/70229396,446640,70229396,mpeasley,iNaturalist,04:25:54Z,NA,mpeasley,156823684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomonachus schauinslandi (Matschie, 1905)",-157.822322,21.742824,cdround,gbif,3058909985,"Neomonachus schauinslandi (Matschie, 1905)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:52:30.605+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,8646426,1,44,359,732,5310,8552999,8646426,8646426,"Neomonachus schauinslandi (Matschie, 1905)",Animalia,Chordata,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,Neomonachus,schauinslandi,SPECIES,ACCEPTED,EN,2021-03-05T03:28:33,30357,Hawaii,2021,2,21,2021-02-21,2021-04-19T22:28:20.000+00:00,2021-12-08T05:52:30.605+00:00,https://www.inaturalist.org/observations/70590056,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Hubert Szczygieł,70590056,hubertszcz,Coordinate uncertainty increased to 30357m to protect threatened taxon,2021/02/21 1:31 PM CST,iNaturalist research-grade observations,Observations,"Honolulu County, US-HI, US",3058909985,https://www.inaturalist.org/observations/70590056,446640,70590056,Hubert Szczygieł,iNaturalist,19:31:00Z,NA,Hubert Szczygieł,157821309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
